index,브랜드명,매장수,상호,대표자,법인설립등기일,사업자등록일,대표번호,대표팩스번호,사업자유형,법인등록번호,사업자등록번호,주소
259,더웨이닝커피(THE WAIN-ING COFFEE),44,(주)웨이닝코리아,윤기남,2011-07-20,2011-07-20,051-582-5527,051-527-2770,법인,191111-0051983,613-81-61608,우 : 52825 경상남도 진주시 가호방아길 51-8 (주)웨이닝코리아
260,만랩커피,144,(주)만랩,조대훈,2015-11-11,2015-11-17,02-1544-1528,02-6008-4804,법인,110111-5887760,887-87-00295,"우 : 06221 서울특별시 강남구 언주로85길 24 7층(역삼동, 유니팜타워)"
261,카페루앤비,81,(주)루앤비,이용숙,2014-10-29,2014-11-01,1577-6239,02-2687-1690,법인,150111-0194914,317-81-45146,우 : 28525 충청북도 청주시 상당구 사직대로 360-1 지하1층(서문동)
262,더치앤빈,126,(주)진심코리아,이주성,2015-09-21,2015-10-01,02-1577-9403,02-568-8852,법인,121111-0295204,351-81-00251,우 : 06175 서울특별시 강남구 테헤란로114길 20 502호
263,데일리커피,6,데일리티(주),정성욱,2019-11-11,2019-11-11,02-1855-0128,02-420-2025,법인,110111-7277951,182-81-01687,"우 : 06626 서울특별시 서초구 서초대로78길 50 7층 LS-703호(서초동, 우영빌딩)"
264,스무디킹(SMOOTHIEKING),293,스무디킹코리아(주),송현석,2015-12-01,2015-12-15,02-550-2300,02-550-2301,법인,110111-5905033,390-81-00218,"우 : 04793 서울특별시 성동구 아차산로5길 7 7층(성수동2가, 아주디지털타워)"
265,베러먼데이,102,베러먼데이코리아(주),도경백,2018-12-17,2018-12-17,1899-8232,051-797-8242,법인,180111-1190684,475-81-01352,"우 : 48101 부산광역시 해운대구 해운대해변로 371 1층 101호(중동,솔레비치오피스텔)"
266,롤링핀,58,(주)롤링핀컴퍼니,"이범식, 민병선",2013-07-23,2013-07-29,031-791-2236,031-791-2238,법인,110111-5189869,206-86-80474,"우 : 12918 경기도 하남시 미사강변서로 16 1015, 1016, 1017, 1018호(풍산동, 하우스디스마트밸리)"
267,나우커피,463,㈜나우커피,이승기,2020-09-08,2020-09-09,1544-4866,055-313-4866,법인,195511-0249122,661-87-02046,우 : 51006 경상남도 김해시 칠산로399번길 20-19 1층
268,마리웨일237,68,(주)루시카토,강인석,2008-06-23,2008-06-23,02-6925-0036,070-4015-2271,법인,110111-3920265,110-81-82671,우 : 10858 경기도 파주시 탄현면 새오리로 435 _
269,씨이십칠(C27),13,(주)디앤지에프씨,김동관,2015-02-10,2015-02-24,02-544-9901,02-544-9908,법인,110111-5640225,298-87-00006,우 : 06033 서울특별시 강남구 도산대로15길 39 (신사동)
270,도넛킬러,2,㈜도넛킬러,김동관,2020-10-19,2020-10-19,02-543-9901,02-545-9901,법인,110111-7654406,352-88-02116,우 : 06033 서울특별시 강남구 도산대로15길 39 4층(신사동)
271,핵커피,1,(주)핵가족,양동모,2016-08-11,2016-08-11,02-2038-8444,02-2038-8446,법인,110111-6147543,594-87-00525,우 : 05328 서울특별시 강동구 올림픽로 664 327호
272,더착한커피,,대한통상(주),전광식,2013-01-22,2013-01-24,001-599-5602,02-2637-1700,법인,285011-0234827,128-86-84471,우 : 10542 경기도 고양시 덕양구 해포길 56-4 1층
273,라붐커피(LABOOM COFFEE),5,(주)라붐팩토리,최형식,2003-02-13,2014-05-09,031-424-3600,013-421-2229,법인,134111-0104161,123-81-85844,"우 : 14062 경기도 안양시 동안구 흥안대로456번길 8 , 2층(라붐빌딩)"
274,못난이꽈배기,117,(주)못난이푸드,김대영,2015-09-23,2015-09-30,041-1644-2926,041-561-2955,법인,161511-0187140,726-87-00200,우 : 31129 충청남도 천안시 동남구 영성로 27 1층(사직동)
275,데니스,25,데니스,이충열,-,2005-01-01,02-830-0588,02-867-2475,개인,-,119-11-51658,"우 : 08749 서울특별시 관악구 봉천로29길 17 (봉천동, 1층)"
276,핸즈커피 (HANDS COFFEE),84,(주)지핸즈,진경도,2012-09-27,2012-09-01,053-313-3476,053-313-3478,법인,170111-0473033,504-86-01276,우 : 41408 대구광역시 북구 도남길 61-9 핸즈커피
277,매스커피,34,(주)매스컴퍼니,이은재,2013-07-10,2013-08-01,053-1600-4765,053-289-4765,법인,170111-0499386,504-86-08401,우 : 41940 대구광역시 중구 공평로8길 29 2층
278,핸즈업,4,핸즈업,전용현,-,2020-11-06,02-1688-6418,000,개인,-,690-48-00620,우 : 02222 서울특별시 중랑구 사가정로45길 43 202호
279,스타벅스,1725,(주)스타벅스커피코리아,이석구,1997-09-11,1997-09-11,02-3015-1100,02-3015-1107,법인,110111-1461667,201-81-21515,우 : 04533 서울특별시 중구 소공로 112
280,카페수르,1,카페수르,박선민,-,2020-12-02,010-9833-7876,031000000,개인,-,107-63-00927,우 : 62234 광주광역시 광산구 풍영로101번길 22 상가1동 지하1층 B112호
281,PLAN (플랜),17,(주)카페플랜,김지훈,2021-05-18,2021-05-24,053-1661-4557,-,법인,170111-0820531,316-86-02061,우 : 41730 대구광역시 서구 달서로 282 2층(원대동3가)
282,TESTER COFFEE(테스터커피),1,테스터,양재석,-,2022-03-25,1522-2689,-,개인,-,888-17-01654,"우 : 15880 경기도 군포시 군포첨단산업2로7번길 8 , 10층 34호(부곡동,군포에이스 더블유밸리)"
283,카페일분,,(주)민성,양성환,2019-09-30,2019-10-01,2925-2585,-,법인,134511-0412681,621-87-01317,우 : 17006 경기도 용인시 기흥구 동백중앙로 191 제이802호
284,달콤,151,(주)다날에프엔비,박경철,2013-01-31,2013-02-01,001-661-1339,031-697-1443,법인,131111-0333341,144-81-09353,우 : 13591 경기도 성남시 분당구 분당로 55 9층
285,Every Coffee(에브리커피),2,에브리커피코리아,양우준,-,2021-02-04,1566-5219,070-4739-9451,개인,-,234-20-01503,우 : 41135 대구광역시 동구 방촌로15길 82 (방촌동)
286,파스쿠찌,535,(주)파리크라상,"황재복, 이명욱",1986-10-17,1987-01-15,02-2276-6000,050-5073-0144,법인,110111-0508311,129-81-07244,우 : 13220 경기도 성남시 중원구 사기막골로31번길 18 (상대원동)
287,픽미픽미아이스크림할인점,777,픽미픽미아이스,김세영,-,2020-05-29,1566-8793,02-897-0575,개인,-,375-66-00273,우 : 14348 경기도 광명시 새빛공원로 67 광명역자이타워 B동 413호
288,에스프레솔리,,(주)제이피브랜드,박종파,2019-04-05,2020-10-07,070-4257-9105,-,법인,285011-0408670,496-86-01451,"서울시 광진구 아차산로 78길 44, 605호"
289,Waffleek(와플릭),2,와플릭,남다현,-,2020-11-14,02-1661-4633,-,개인,-,521-05-01665,우 : 31991 충청남도 서산시 한마음13로 38 (석림동)
290,파라노이드,,(주)돌우물,임정환,2017-05-16,2020-01-01,02-6205-7022,02-6205-7006,법인,110111-6401387,473-88-01791,우 : 06111 서울특별시 강남구 강남대로128길 61 202호
291,라떼킹(Latteking),13,블루빈컴퍼니(주),김태준,2011-10-11,2011-10-11,02-1644-0976,02-548-0978,법인,110111-4705385,110-81-97344,우 : 04768 서울특별시 성동구 서울숲2길 40 4층
292,역세권,,역세권,한기정,-,2019-10-21,001-533-1885,010-4143-6076,개인,-,678-26-00860,우 : 43018 대구광역시 달성군 유가읍 테크노공원로 59 204호
293,줄리브,8,(주)줄리앤줄리아,강지연,2018-12-04,2018-12-04,032-270-6237,032-270-6238,법인,121111-0357682,104-87-01262,우 : 14556 경기도 부천시 조마루로385번길 122 710호
294,빽다방빵연구소,6,(주)더본코리아,백종원,1994-01-12,1994-01-21,02-549-3864,02-511-3864,법인,110111-1002122,211-86-00870,우 : 06119 서울특별시 강남구 봉은사로1길 39 5~6층
295,GLOER,20,(주)위벨롭먼트,정승민,2018-07-11,2018-07-16,1811-8051,031-401-1944,법인,131411-0415630,329-88-01081,"우 : 15476 경기도 안산시 단원구 광덕대로 137 6층 601호, 602호, 603호, 604호(고잔동, 밀레니엄빌딩)"
296,피카커피,,(주)디더블유씨,금도원,2021-01-19,2021-02-01,053-813-0703,053-813-0704,법인,174811-0110257,402-88-02181,우 : 38538 경상북도 경산시 압량읍 압독3로2길 3-11 1층
297,카페로코코,,(주)알비컴퍼니,경예지,2020-11-02,2020-11-25,042-487-4606,-,법인,160111-0570732,627-86-01899,우 : 35288 대전광역시 서구 갈마로 226 지하1층
298,커피나무,53,(주)커피나무,백지연,2014-11-07,2014-11-13,02-1577-9173,02-821-0744,법인,110111-5558337,108-86-14200,우 : 06970 서울특별시 동작구 상도로53길 65 커피나무 빌딩
299,디다인,,디다인,이제열,-,2022-03-09,1577-4094,-,개인,-,562-08-02045,"우 : 18433 경기도 화성시 동탄지성로 148 107호(능동, 제이스프라자)"
300,요거트온유(YOGURT ON YOU),,라라에프앤비,방미라,-,2019-06-02,02-833-2242,-,개인,-,439-08-01386,우 : 07315 서울특별시 영등포구 도신로53길 15 1층(신길동)
301,ARIA(아리아),,라라에프앤비,방미라,-,2019-06-02,02-833-2242,-,개인,-,439-08-01386,우 : 07315 서울특별시 영등포구 도신로53길 15 1층(신길동)
302,몬트커피(Mond coffee),,(주)앵커트리,"박용진, 김영완",-,2022-06-07,051-514-9001,-,법인,180111-1441045,353-81-02745,"우 : 46292 부산광역시 금정구 장전로18번길 20 1,2층 (장전동)"
303,식물학,,(주)팬텀인터내셔널,이지은,2020-01-02,2020-01-02,02-3775-2023,02-3775-2024,법인,110111-7343132,348-81-01628,"우 : 07332 서울특별시 영등포구 의사당대로1길 11 814호(여의도동, 메종리브르오피스텔)"
304,대한커피,,(주)대한푸드,권오준,2018-12-13,2019-02-01,02-6215-5207,-,법인,110111-6954435,303-88-01172,우 : 04929 서울특별시 광진구 천호대로 571 14층
305,콜프로스터스,,콜프컴퍼니,박영화,-,2022-06-16,052-221-0529,-,개인,-,727-17-02042,우 : 44932 울산광역시 울주군 범서읍 장검길 48 104동 1603호
306,레인보우마카롱,10,(주)알비컴퍼니,경예지,2020-11-02,2020-11-25,042-487-4606,-,법인,160111-0570732,627-86-01899,우 : 35288 대전광역시 서구 갈마로 226 지하1층
307,킁킁커피,6,(주)슬기로운커피생활,강신원,2021-01-18,2021-02-01,1533-1525,042-825-6019,법인,160111-0578356,234-88-01916,우 : 34155 대전광역시 유성구 덕명동로22번길 15 킁킁커피
308,북문당,21,(주)와이에스컴퍼니,이영석,2019-11-08,2019-11-13,1600-2886,-,법인,150111-0276986,192-86-01466,"우 : 28744 충청북도 청주시 상당구 산성로104번길 6 502호(용담동, 현대빌딩)"
309,그린머그,,그린머그코리아,이호경,-,2019-10-04,032-516-1475,-,개인,-,681-26-00774,"우 : 21344 인천광역시 부평구 체육관로 38 10층 1001-1호 (삼산동, 세원빌딩)"
310,어랏커피투고,,어랏커피,"한하얀, 차성민",-,2022-04-08,3230-0508,051-544-5268,개인,-,482-45-00902,우 : 48004 부산광역시 해운대구 반송로 918-1 지하1층
311,이륜당,11,(주)이음에프앤비,유기현,2021-06-29,2021-06-29,001-833-2066,070-8244-1130,법인,161511-0298236,168-88-02068,우 : 31205 충청남도 천안시 동남구 통정6로 5-14 1층(신방동)
312,차얌,147,(주)프로젝트비,윤석제,2016-10-01,2016-10-31,02-1522-1028,02-2294-1028,법인,110111-6209715,352-86-00550,"우 : 04788 서울특별시 성동구 왕십리로16가길 24 1층, 5층 (성수동1가)"
313,고망고,30,(주)프로젝트비,윤석제,2016-10-01,2016-10-31,02-1522-1028,02-2294-1028,법인,110111-6209715,352-86-00550,"우 : 04788 서울특별시 성동구 왕십리로16가길 24 1층, 5층 (성수동1가)"
314,주니아,15,㈜하나패밀리,박상배,2019-07-01,2019-07-01,02-3664-7689,000,법인,124411-0238908,503-86-19415,"우 : 07802 서울특별시 강서구 공항대로 227 7층 710호 (마곡동,마곡센트럴타워1)"
315,더스노우,1,(주)더스노우랩,김수진,2021-07-19,2021-08-01,02-6032-8989,-,법인,220111-0224378,140-88-02191,우 : 63227 제주특별자치도 제주시 승천로 57 3층 엠-17호
316,엘아르카,12,엘아르카,김은철,-,2011-06-01,070-7760-7788,02-0000-0000,개인,-,515-07-32279,우 : 38571 경상북도 경산시 남산면 상대로116길 7-118
317,빵집이야,,(주)팀프에프앤비,노우택,2019-03-28,2019-04-09,02-522-8810,02-516-8803,법인,135711-0138977,154-88-01468,"우 : 06109 서울특별시 강남구 봉은사로37길 7-9 지하2층, 지하1층(논현동)"
318,이태리다방,,(주)아이센스에프앤비,윤석범,2014-07-25,2014-08-05,1544-5860,02-803-9197,법인,110111-5476092,113-86-88422,우 : 08380 서울특별시 구로구 디지털로33길 11 804호
319,솔차니,,솔차니만나,강대수,-,2021-04-16,031-984-3033,031-984-3033,개인,-,686-64-00413,우 : 10078 경기도 김포시 김포한강1로 266 1층 111호
320,솔차니꽈배기,,솔차니만나,강대수,-,2021-04-16,031-984-3033,031-984-3033,개인,-,686-64-00413,우 : 10078 경기도 김포시 김포한강1로 266 1층 111호
321,쉬즈베이글 커피,57,(주)쉬즈베이글,유재영,2018-11-07,2018-11-07,070-7787-5590,070-7966-5590,법인,161511-0240881,561-81-01202,우 : 31132 충청남도 천안시 동남구 중앙로 80 3층
322,카페글렌,32,조이풀컴퍼니(주),최인혁,2009-06-05,2009-07-15,032-551-1003,032-551-1503,법인,120111-0498429,122-86-05560,"우 : 21314 인천광역시 부평구 새벌로 29 312호 313호 314호(청천동, 부평테크노타워)"
323,커피온리,71,(주)커피만컴퍼니,김헌영,2016-07-20,2016-08-22,1588-5049,02-2268-3515,법인,110111-6126737,509-88-00446,우 : 04555 서울특별시 중구 수표로 20-1 5층(충무로3가)
324,카페띠아모,62,(주)베모스,김성동,2006-09-25,2006-09-29,1644-8109,02-463-8398,법인,110111-3533795,206-86-10982,"우 : 12113 경기도 남양주시 별내2로 64 8층 805호(별내동, 쎈타프라자)"
325,매머드익스프레스(Mammoth Express),396,(주)매머드커피랩,"최경환, 김범수",2012-10-30,2012-12-03,02-515-1645,02-516-1645,법인,110111-4991223,105-87-79176,우 : 06029 서울특별시 강남구 논현로159길 34 (신사동)
326,로띠번,95,(주)로띠번코리아,박정은,2012-02-20,2012-03-01,051-311-4884,051-311-0044,법인,180111-0796053,606-86-35669,"우 : 46984 부산광역시 사상구 새벽시장로133번길 11 (감전동, 2층)"
327,토스트카페마리,36,(주)더블유엔씨,노정현,2019-04-10,2019-04-10,1899-2450,02-826-2225,법인,110111-7072848,207-86-01389,우 : 07040 서울특별시 동작구 상도로 392 3층(상도동)
328,꿀복이 꽈배기,18,드림에프에스,주순만,-,2012-04-11,016448930,000,개인,-,134-05-43253,우 : 15274 경기도 안산시 상록구 월피로2길 6 (월피동)
329,와플대학,384,(주)와플대학,손정희,2022-01-10,2022-02-03,02-2285-0031,070-4170-4105,법인,110111-8159075,191-88-02243,우 : 04320 서울특별시 용산구 한강대로 321 1층
330,꺼내먹어요,,투에스제이컴퍼니,"김성주, 황성준",-,2021-04-19,02-0000-0000,02-0000-0000,개인,-,254-31-00960,"우 : 08037 서울특별시 양천구 지양로7길 14 , 103호(신월동, SB빌딩)"
331,루시카토캔디,2,(주)루시카토,강인석,2008-06-23,2008-06-23,02-6925-0036,070-4015-2271,법인,110111-3920265,110-81-82671,우 : 10858 경기도 파주시 탄현면 새오리로 435 _
332,카페아이엠티,27,(주)편안,이태경,2011-10-28,2011-10-28,02-432-3232,02-318-3032,법인,110111-4717158,204-86-31017,우 : 03059 서울특별시 종로구 계동길 19 (계동)
333,랑데자뷰(RENDEJAVOUS),40,(주)랑데자뷰,박귀홍,2021-06-25,2021-06-25,070-4242-5656,000-000-0000,법인,110111-7936755,380-88-01975,우 : 04969 서울특별시 광진구 아차산로 634 4층 402호(광장동)
